"sample_id","post_relatedness_lower","post_relatedness_med","post_relatedness_upper","post_relatedness_mean"
"IM-23-122-AADO",0.0283948872238398,0.0904744006693363,0.186141812801361,0.098584312884137
"IM-23-122-AGLG",0.0316844333894551,0.0963097363710403,0.18221219740808,0.0996004417743534
"IM-23-122-AYZM",0.159783619269729,0.250959649682045,0.349407420307398,0.251460309838876
"IM-23-122-BBQQ",NA,NA,NA,NA
"IM-23-122-BLDK",NA,NA,NA,NA
"IM-23-122-CJFA",0.277496103197336,0.479815468192101,0.645409369468689,0.476975789636373
"IM-23-122-CZIR",NA,NA,NA,NA
"IM-23-122-GBHJ",0.0539919896051288,0.124972030520439,0.244806857407092,0.127866666058078
"IM-23-122-GLML",0.791483916342258,0.875602394342422,0.952694892883301,0.87549840593338
"IM-23-122-GUJH",0.0346974239684641,0.097029123455286,0.419071516394615,0.114814770041034
"IM-23-122-HJWU",0.687991861999035,0.790134698152542,0.920235122740269,0.794703483700752
"IM-23-122-HMID",NA,NA,NA,NA
"IM-23-122-HSBS",0.599801038205624,0.680204302072525,0.785460233688354,0.682224569544196
"IM-23-122-HTXO",0.912154705822468,0.951763063669205,0.974443355202675,0.950006211345846
"IM-23-122-HWJN",0.683486653864384,0.793716192245483,0.890707632899284,0.794191090226173
"IM-23-122-IOGO",0.117151589877903,0.261911645531654,0.420767097175121,0.257243548132479
"IM-23-122-JVIK",0.0340277764946222,0.0861554853618145,0.178833025693893,0.0909977052733302
"IM-23-122-KAOL",0.423182249069214,0.540587872266769,0.644283564388752,0.538351188480854
"IM-23-122-KGAH",NA,NA,NA,NA
"IM-23-122-KXSC",0.229656300321221,0.338674560189247,0.456441497802734,0.340975305572152
"IM-23-122-KXSM",0.0309733390808105,0.0978665314614773,0.192529309913516,0.101500934337266
"IM-23-122-LVNL",NA,NA,NA,NA
"IM-23-122-MADZ",NA,NA,NA,NA
"IM-23-122-NLRL",0.196840187907219,0.26486736536026,0.33886284083128,0.265371342420578
"IM-23-122-NMNY",0.965583741664886,0.965583741664886,0.965583741664886,0.965583741664886
"IM-23-122-OBAR",0.264483209699392,0.373479530215263,0.487291224300861,0.373704909875989
"IM-23-122-OUOH",NA,NA,NA,NA
"IM-23-122-PUNL",0.0291627964470536,0.0982563085854053,0.455084230750799,0.138422362019308
"IM-23-122-RAWG",0.26168567314744,0.375260472297668,0.59230432510376,0.382153438657522
"IM-23-122-RHAA",0.80925964564085,0.887363702058792,0.961975874006748,0.8864550563097
"IM-23-122-RMAM",0.173985810577869,0.252416610717773,0.355781161785126,0.256288127288222
"IM-23-122-ROAO",NA,NA,NA,NA
"IM-23-122-RWTH",NA,NA,NA,NA
"IM-23-122-SFZS",0.18511022888124,0.262343302369118,0.343273089826107,0.263825522914529
"IM-23-122-SVVU",0.081946131028235,0.178702220320702,0.50497325360775,0.256457871459425
"IM-23-122-TFAY",NA,NA,NA,NA
"IM-23-122-TMSF",NA,NA,NA,NA
"IM-23-122-VBKQ",NA,NA,NA,NA
"IM-23-122-VSRZ",0.92098880559206,0.932432562112808,0.963468070328236,0.937727630138397
"IM-23-122-VYRP",NA,NA,NA,NA
"IM-23-122-WVFA",0.471210724115372,0.736466526985168,0.85321963429451,0.703512222588062
"IM-23-122-XFGC",0.0330596505664289,0.0921614728868008,0.176103008165956,0.0964912873916328
"IM-23-122-XHZJ",0.0414040299132466,0.174658879637718,0.347564759850502,0.183815762220882
"IM-23-122-YBAA",NA,NA,NA,NA
"IM-23-122-YMLZ",0.0263206252362579,0.09002685546875,0.44456252604723,0.128033412850462
"IM-23-122-YNLT",0.219789021462202,0.315814465284348,0.543235516548157,0.343102341577411
"IM-23-122-YNPZ",NA,NA,NA,NA
