"sample_id","post_relatedness_lower","post_relatedness_med","post_relatedness_upper","post_relatedness_mean"
"IM-23-120-AFIT",NA,NA,NA,NA
"IM-23-120-AOQB",NA,NA,NA,NA
"IM-23-120-ATBC",0.73264747262001,0.829280316829681,0.937464578449726,0.832307068496942
"IM-23-120-ATSN",NA,NA,NA,NA
"IM-23-120-AVGS",0.987258911132812,0.987258911132812,0.987258911132812,0.987258911132812
"IM-23-120-AXGV",0.38118339702487,0.492908969521523,0.619890536367893,0.494667265448719
"IM-23-120-BFIW",0.427613788843155,0.539987742900848,0.747901271283626,0.546241643548012
"IM-23-120-BHTX",NA,NA,NA,NA
"IM-23-120-BNZQ",NA,NA,NA,NA
"IM-23-120-BXJW",0.475618705153465,0.586256384849548,0.804731100797653,0.595808047678028
"IM-23-120-CAJX",0.50088437795639,0.613778859376907,0.713254034519196,0.611897401884198
"IM-23-120-CBWK",NA,NA,NA,NA
"IM-23-120-CINZ",0.160751091316342,0.243307463824749,0.34359021037817,0.245141552507877
"IM-23-120-CLQY",0.846189993619919,0.922252535820007,0.961444270610809,0.91435718536377
"IM-23-120-CVVI",0.912517401576042,0.961273163557053,0.987043045461178,0.956166915893555
"IM-23-120-DLYC",NA,NA,NA,NA
"IM-23-120-DNPR",0.42171149328351,0.524199694395065,0.7321493268013,0.528131314307451
"IM-23-120-DTMM",NA,NA,NA,NA
"IM-23-120-DTPF",0.139552654325962,0.506201475858688,0.624440944194794,0.467530343834311
"IM-23-120-DUWS",NA,NA,NA,NA
"IM-23-120-DWIG",0.481116481125355,0.571092754602432,0.737603834271431,0.587138191744685
"IM-23-120-DWTL",0.384575758874416,0.505897760391235,0.729023315012455,0.51207105333358
"IM-23-120-FGSV",0.015743751055561,0.0578888915479183,0.132866219058633,0.0623694111432415
"IM-23-120-FJIT",0.441312474757433,0.535352259874344,0.724486520886421,0.548333707198501
"IM-23-120-FVGH",NA,NA,NA,NA
"IM-23-120-GOFU",0.0292921016924083,0.0889552682638168,0.454123389720917,0.111740004125575
"IM-23-120-GQGH",0.18285824842751,0.283909857273102,0.486950886249542,0.30611563783139
"IM-23-120-GVHL",0.362203130871058,0.441561698913574,0.575865483283996,0.449349769197404
"IM-23-120-GVZD",0.441150252521038,0.549645632505417,0.725567843019962,0.553420178756118
"IM-23-120-GYTW",NA,NA,NA,NA
"IM-23-120-HAYS",NA,NA,NA,NA
"IM-23-120-HKXV",0.366378386318684,0.480081602931023,0.698739114403724,0.48603651791811
"IM-23-120-HNNN",0.153800873830914,0.266559362411499,0.38554335013032,0.267455931261182
"IM-23-120-HNVS",0.359857326000929,0.445883676409721,0.63024660050869,0.461665641888976
"IM-23-120-HPOS",0.446732984483242,0.534459799528122,0.695467223227024,0.545132522940636
"IM-23-120-HYRK",NA,NA,NA,NA
